sequence_identifier;Domain;Phylum;Class;Order;Family;Genus;Species
OTU_3291;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;Sandaracinus;
OTU_3292;Bacteria;Latescibacterota;;;;;
OTU_3293;Bacteria;Planctomycetota;Pla3 lineage;;;;
OTU_3294;Bacteria;NB1-j;;;;;
OTU_3295;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_3296;Unclassified;;;;;;
OTU_3297;Bacteria;Planctomycetota;OM190;;;;
OTU_3298;Unclassified;;;;;;
OTU_3299;Bacteria;Planctomycetota;Phycisphaerae;CCM11a;;;
OTU_3300;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_3301;Unclassified;;;;;;
OTU_3302;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_3303;Unclassified;;;;;;
OTU_3304;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_3305;Unclassified;;;;;;
OTU_3306;Unclassified;;;;;;
OTU_3307;Unclassified;;;;;;
OTU_3308;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_3309;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
OTU_3310;Bacteria;Planctomycetota;OM190;;;;
OTU_3311;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;uncultured;
OTU_3312;Unclassified;;;;;;
OTU_3313;Unclassified;;;;;;
OTU_3314;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;uncultured;
OTU_3315;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_3316;Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;
OTU_3317;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;;
OTU_3318;Unclassified;;;;;;
OTU_3319;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_3320;Unclassified;;;;;;
OTU_3321;Unclassified;;;;;;
OTU_3322;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;;;
OTU_3323;Unclassified;;;;;;
OTU_3324;Bacteria;Desulfobacterota;Desulfuromonadia;PB19;;;
OTU_3325;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;uncultured;
OTU_3326;Unclassified;;;;;;
OTU_3327;Unclassified;;;;;;
OTU_3328;Unclassified;;;;;;
OTU_3329;Unclassified;;;;;;
OTU_3330;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Fulvivirga;
OTU_3331;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;Sandaracinus;
OTU_3332;Bacteria;Desulfobacterota;Desulfuromonadia;PB19;;;
OTU_3333;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;
OTU_3334;Unclassified;;;;;;
OTU_3335;Unclassified;;;;;;
OTU_3336;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;uncultured;
OTU_3337;Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;
OTU_3338;Unclassified;;;;;;
OTU_3339;Unclassified;;;;;;
OTU_3340;Unclassified;;;;;;
OTU_3341;Bacteria;SAR324 clade(Marine group B);;;;;
OTU_3342;Unclassified;;;;;;
OTU_3343;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_3344;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_3345;Unclassified;;;;;;
OTU_3346;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;
OTU_3347;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_3348;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Pelagibius;
OTU_3349;Unclassified;;;;;;
OTU_3350;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_3351;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;uncultured;
OTU_3352;Bacteria;NB1-j;;;;;
OTU_3353;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;uncultured;;
OTU_3354;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_3355;Bacteria;SAR324 clade(Marine group B);;;;;
OTU_3356;Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;
OTU_3357;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_3358;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;;
OTU_3359;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula;
OTU_3360;Unclassified;;;;;;
OTU_3361;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_3362;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;
OTU_3363;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;
OTU_3364;Unclassified;;;;;;
OTU_3365;Unclassified;;;;;;
OTU_3366;Bacteria;Deinococcota;Deinococci;Deinococcales;Trueperaceae;Truepera;
OTU_3367;Unclassified;;;;;;
OTU_3368;Unclassified;;;;;;
OTU_3369;Unclassified;;;;;;
OTU_3370;Unclassified;;;;;;
OTU_3371;Bacteria;MBNT15;;;;;
OTU_3372;Unclassified;;;;;;
OTU_3373;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;;;
OTU_3374;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_3375;Unclassified;;;;;;
OTU_3376;Bacteria;NB1-j;;;;;
OTU_3377;Bacteria;;;;;;
OTU_3378;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_3379;Bacteria;NB1-j;;;;;
OTU_3380;Unclassified;;;;;;
OTU_3381;Unclassified;;;;;;
OTU_3382;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_3383;Unclassified;;;;;;
OTU_3384;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Fusibacteraceae;Fusibacter;
OTU_3385;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;uncultured;;
OTU_3386;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;
OTU_3387;Unclassified;;;;;;
OTU_3388;Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;;
OTU_3389;Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;;;
OTU_3390;Unclassified;;;;;;
OTU_3391;Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;
OTU_3392;Bacteria;Planctomycetota;Pla3 lineage;;;;
OTU_3393;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_3394;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;;
OTU_3395;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;
OTU_3396;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;
OTU_3397;Unclassified;;;;;;
OTU_3398;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_3399;Unclassified;;;;;;
OTU_3400;Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;
OTU_3401;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;NS11-12 marine group;;
OTU_3402;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Persicirhabdus;
OTU_3403;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;uncultured;
OTU_3404;Unclassified;;;;;;
OTU_3405;Unclassified;;;;;;
OTU_3406;Unclassified;;;;;;
OTU_3407;Unclassified;;;;;;
OTU_3408;Unclassified;;;;;;
OTU_3409;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_3410;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;;
OTU_3411;Unclassified;;;;;;
OTU_3412;Unclassified;;;;;;
OTU_3413;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;SCGC AAA164-E04;
OTU_3414;Unclassified;;;;;;
OTU_3415;Bacteria;Planctomycetota;OM190;;;;
OTU_3416;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;Sandaracinus;
OTU_3417;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;;
OTU_3418;Unclassified;;;;;;
OTU_3419;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;;
OTU_3420;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;uncultured;
OTU_3421;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;
OTU_3422;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;;
OTU_3423;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_3424;Unclassified;;;;;;
OTU_3425;Unclassified;;;;;;
OTU_3426;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_3427;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_3428;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;
OTU_3429;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
OTU_3430;Unclassified;;;;;;
OTU_3431;Unclassified;;;;;;
OTU_3432;Bacteria;Myxococcota;bacteriap25;;;;
OTU_3433;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Vicingus;
OTU_3434;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;;
OTU_3435;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;;;
OTU_3436;Unclassified;;;;;;
OTU_3437;Unclassified;;;;;;
OTU_3438;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;uncultured;
OTU_3439;Unclassified;;;;;;
OTU_3440;Unclassified;;;;;;
OTU_3441;Unclassified;;;;;;
OTU_3442;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_3443;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_3444;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Lutibacter;
OTU_3445;Bacteria;Verrucomicrobiota;Lentisphaeria;Lentisphaerales;Lentisphaeraceae;Lentisphaera;
OTU_3446;Bacteria;;;;;;
OTU_3447;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_3448;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;uncultured;
OTU_3449;Unclassified;;;;;;
OTU_3450;Unclassified;;;;;;
OTU_3451;Unclassified;;;;;;
OTU_3452;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_3453;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;uncultured;
OTU_3454;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;;
OTU_3455;Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;
OTU_3456;Unclassified;;;;;;
OTU_3457;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_3458;Bacteria;Planctomycetota;Phycisphaerae;S-70;;;
OTU_3459;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;uncultured;
OTU_3460;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
OTU_3461;Unclassified;;;;;;
OTU_3462;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;uncultured;
OTU_3463;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_3464;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;;
OTU_3465;Unclassified;;;;;;
OTU_3466;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_3467;Unclassified;;;;;;
OTU_3468;Bacteria;Acidobacteriota;Subgroup 21;;;;
OTU_3469;Unclassified;;;;;;
OTU_3470;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;uncultured;
OTU_3471;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Portibacter;
OTU_3472;Unclassified;;;;;;
OTU_3473;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_3474;Unclassified;;;;;;
OTU_3475;Bacteria;WS2;;;;;
OTU_3476;Unclassified;;;;;;
OTU_3477;Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;Nitrospina;
OTU_3478;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_3479;Unclassified;;;;;;
OTU_3480;Unclassified;;;;;;
OTU_3481;Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Simkaniaceae;Candidatus;Rhabdochlamydia
OTU_3482;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;;
OTU_3483;Bacteria;SAR324 clade(Marine group B);;;;;
OTU_3484;Unclassified;;;;;;
OTU_3485;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;;
OTU_3486;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;;
OTU_3487;Unclassified;;;;;;
OTU_3488;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Silicimonas;
OTU_3489;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;;;
OTU_3490;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_3491;Unclassified;;;;;;
OTU_3492;Unclassified;;;;;;
OTU_3493;Bacteria;Dependentiae;Babeliae;Babeliales;;;
OTU_3494;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;uncultured;;
OTU_3495;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Phycisphaera;
OTU_3496;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_3497;Bacteria;Planctomycetota;Pla3 lineage;;;;
OTU_3498;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;
OTU_3499;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Croceibacter;
OTU_3500;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Limibaculum;
OTU_3501;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;
OTU_3502;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_3503;Unclassified;;;;;;
OTU_3504;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae;Pseudohongiella;
OTU_3505;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;;
OTU_3506;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Vicingus;
OTU_3507;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;;
OTU_3508;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Phaeodactylibacter;
OTU_3509;Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;
OTU_3510;Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;uncultured;;
OTU_3511;Bacteria;Verrucomicrobiota;Lentisphaeria;P.palmC41;;;
OTU_3512;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Halomonas;
OTU_3513;Unclassified;;;;;;
OTU_3514;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Portibacter;
OTU_3515;Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;;;
OTU_3516;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;;
OTU_3517;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_3518;Unclassified;;;;;;
OTU_3519;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Marinifilum;
OTU_3520;Bacteria;Myxococcota;Polyangia;Polyangiales;BIrii41;;
OTU_3521;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Colwelliaceae;;
OTU_3522;Bacteria;Gemmatimonadota;PAUC43f marine benthic group;;;;
OTU_3523;Unclassified;;;;;;
OTU_3524;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_3525;Unclassified;;;;;;
OTU_3526;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_3527;Unclassified;;;;;;
OTU_3528;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_3529;Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;Oceanibaculaceae;Oceanibaculum;
OTU_3530;Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;
OTU_3531;Unclassified;;;;;;
OTU_3532;Unclassified;;;;;;
OTU_3533;Unclassified;;;;;;
OTU_3534;Unclassified;;;;;;
OTU_3535;Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;;
OTU_3536;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Pelagicoccus;
OTU_3537;Unclassified;;;;;;
OTU_3538;Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured;;
OTU_3539;Unclassified;;;;;;
OTU_3540;Unclassified;;;;;;
OTU_3541;Bacteria;SAR324 clade(Marine group B);;;;;
OTU_3542;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_3543;Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae;uncultured;
OTU_3544;Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thiomicrospiraceae;endosymbionts;
OTU_3545;Unclassified;;;;;;
OTU_3546;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Sediminispirochaeta;
OTU_3547;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_3548;Unclassified;;;;;;
OTU_3549;Bacteria;Bacteroidota;Bacteroidia;Bacteroidetes VC2.1 Bac22;;;
OTU_3550;Unclassified;;;;;;
OTU_3551;Unclassified;;;;;;
OTU_3552;Unclassified;;;;;;
OTU_3553;Bacteria;Acidobacteriota;Subgroup 22;;;;
OTU_3554;Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;uncultured;;
OTU_3555;Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;;
OTU_3556;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured;
OTU_3557;Bacteria;Chloroflexi;Anaerolineae;SBR1031;;;
OTU_3558;Unclassified;;;;;;
OTU_3559;Bacteria;Planctomycetota;OM190;;;;
OTU_3560;Unclassified;;;;;;
OTU_3561;Bacteria;Planctomycetota;OM190;;;;
OTU_3562;Unclassified;;;;;;
OTU_3563;Unclassified;;;;;;
OTU_3564;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;uncultured;;
OTU_3565;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;;
OTU_3566;Bacteria;NB1-j;;;;;
OTU_3567;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Moritellaceae;uncultured;
OTU_3568;Unclassified;;;;;;
OTU_3569;Unclassified;;;;;;
OTU_3570;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;uncultured;
OTU_3571;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;;
OTU_3572;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;;;
OTU_3573;Bacteria;Gemmatimonadota;PAUC43f marine benthic group;;;;
OTU_3574;Bacteria;Planctomycetota;Pla3 lineage;;;;
OTU_3575;Unclassified;;;;;;
OTU_3576;Bacteria;Planctomycetota;OM190;;;;
OTU_3577;Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41;;;
OTU_3578;Unclassified;;;;;;
OTU_3579;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;uncultured;
OTU_3580;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Urania-1B-19 marine sediment group;
OTU_3581;Bacteria;Planctomycetota;Pla4 lineage;;;;
OTU_3582;Bacteria;NB1-j;;;;;
OTU_3583;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_3584;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;uncultured;;
OTU_3585;Unclassified;;;;;;
OTU_3586;Unclassified;;;;;;
OTU_3587;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Phaeodactylibacter;
OTU_3588;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;uncultured;
OTU_3589;Bacteria;Verrucomicrobiota;Kiritimatiellae;Kiritimatiellales;Kiritimatiellaceae;R76-B128;
OTU_3590;Bacteria;Nitrospinota;P9X2b3D02;;;;
OTU_3591;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;;;
OTU_3592;Bacteria;Myxococcota;Polyangia;Polyangiales;;;
OTU_3593;Unclassified;;;;;;
OTU_3594;Bacteria;Latescibacterota;;;;;
OTU_3595;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;;
OTU_3596;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;uncultured;;
OTU_3597;Bacteria;NB1-j;;;;;
OTU_3598;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;Alterococcus;
OTU_3599;Bacteria;Verrucomicrobiota;Lentisphaeria;SS1-B-02-17;;;
OTU_3600;Bacteria;Acidobacteriota;Subgroup 22;;;;
OTU_3601;Bacteria;SAR324 clade(Marine group B);;;;;
OTU_3602;Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;;;
OTU_3603;Bacteria;Proteobacteria;Gammaproteobacteria;JTB23;;;
OTU_3604;Unclassified;;;;;;
OTU_3605;Unclassified;;;;;;
OTU_3606;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;;
OTU_3607;Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;
OTU_3608;Unclassified;;;;;;
OTU_3609;Bacteria;Chloroflexi;KD4-96;;;;
OTU_3610;Unclassified;;;;;;
OTU_3611;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_3612;Unclassified;;;;;;
OTU_3613;Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;;
OTU_3614;Unclassified;;;;;;
OTU_3615;Unclassified;;;;;;
OTU_3616;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Hyunsoonleella;
OTU_3617;Bacteria;Latescibacterota;;;;;
OTU_3618;Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;;
OTU_3619;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;;;
OTU_3620;Unclassified;;;;;;
OTU_3621;Unclassified;;;;;;
OTU_3622;Unclassified;;;;;;
OTU_3623;Bacteria;Elusimicrobiota;Lineage IIb;;;;
OTU_3624;Bacteria;Planctomycetota;Pla3 lineage;;;;
OTU_3625;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
OTU_3626;Bacteria;Latescibacterota;;;;;
OTU_3627;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_3628;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Marinicella;
OTU_3629;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;
OTU_3630;Unclassified;;;;;;
OTU_3631;Unclassified;;;;;;
OTU_3632;Unclassified;;;;;;
OTU_3633;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;;
OTU_3634;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
OTU_3635;Bacteria;Planctomycetota;OM190;;;;
OTU_3636;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
OTU_3637;Bacteria;Planctomycetota;vadinHA49;;;;
OTU_3638;Unclassified;;;;;;
OTU_3639;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12;;
OTU_3640;Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Criblamydiaceae;;
OTU_3641;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_3642;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_3643;Unclassified;;;;;;
OTU_3644;Unclassified;;;;;;
OTU_3645;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured;
OTU_3646;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_3647;Unclassified;;;;;;
OTU_3648;Unclassified;;;;;;
OTU_3649;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Lewinella;
OTU_3650;Unclassified;;;;;;
OTU_3651;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Cryomorpha;
OTU_3652;Unclassified;;;;;;
OTU_3653;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;uncultured;;
OTU_3654;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurimonadaceae;Sulfurimonas;
OTU_3655;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;
